ชื่ออาหาร,ประเภท,รสชาติ,วัตถุดิบ
ต้มข่าไก่,อาหารไทย,เค็ม เปรี้ยว เผ็ด,ไก่ กะทิ เห็ด พริก กระเทียม
กล้วยบวชชี,ของหวาน,หวาน มัน,กล้วย กะทิ
สาคูข้าวโพดมะพร้าวอ่อน,ของหวาน,หวาน มัน,สาคู ข้าวโพด มะพร้าว กะทิ
ปลานึ่งมะนาว,ปลา,เค็ม เปรี้ยว เผ็ด,ปลา มะนาว พริก กระเทียม
ก๋วยเตี๋ยวไก่,ก๋วยเตี๋ยว,หวาน มัน,ไข่ เส้นใหญ่ ไก่ น้ำตาล พริกไทย แป้ง ต้นหอม
ก๋วยเตี๋ยวราดหน้าปลาเต้าซี่,ก๋วยเตี๋ยว,หวาน มัน,เส้นใหญ่ ปลา ไข่ ขิง เหล้าจีน น้ำตาล เกลือ น้ำมัน
แกงมัสมั่นไก่,อาหารไทย,หวาน มัน เผ็ด,หัวกะทิ พริกแกง ไก่ มันฝรั่ง หอมใหญ่ ใบหยี่หร่า
ไก่ทอดซีอิ๊ว,อาหารไทย,เค็ม,ไก่ ซอสซีอิ๊ว
ไก่ห่อใบเตย,อาหารไทย,หวาน มัน,ไก่ กะทิ น้ำตาล น้ำมัน ใบเตย งา
ไข่พะโล้,อาหารไทย,หวาน เค็ม มัน, ไข่ หมู กระเทียม ผงปรุงรสหมู ซีอิ้วดำหวาน
ซุปไก่,อาหารไทย,หวาน,ไก่ มันฝรั่ง แครอท หอมใหญ่ ซีอิ๊ว
ผัดไทยกุ้ง,อาหารไทย,หวาน มัน เค็ม,กุ้ง ไชโป๊ เส้นผัดไทย ถั่วงอก มะนาว ถั่ว
ผัดกะเพราไก่,อาหารไทย,หวาน เผ็ด มัน,ไก่ชิ้น ใบกะเพรา พริก กระเทียม น้ำปลา น้ำตาล ไข่
ผัดกะเพราหมูกรอบ,อาหารไทย,หวาน เผ็ด มัน,หมูกรอบ ถัวฝักยาว ใบกะเพรา น้ำปลา น้ำตาล พริก กระเทียม น้ำมันหอย
ผัดพริกแกงไก่,อาหารไทย,หวาน เผ็ด มัน,ไก่ ถั่วฝักยาว มะเขือ ใบมะกรูด พริกแกง น้ำตาล น้ำมัน
ไก่ทอดกระเทียม,อาหารไทย,เค็ม มัน,ไก่ กระเทียม น้ำปลา
กุ้งกระเทียมพริกไทย,อาหารไทย,เค็ม มัน เผ็ด,กุ้ง กระเทียม พริกไทย ซีอิ๊ว น้ำตาล น้ำมัน
หมูผัดน้ำมันหอย,อาหารไทย,หวาน เค็ม มัน,หมู น้ำตาล ผงปรุงรส น้ำมันหอย พริกไทย น้ำมัน
 ไก่ผัดน้ำมันหอย,อาหารไทย,หวาน เค็ม มัน, ไก่ กระเทียม น้ำมันหอย ซีอิ๊ว น้ำปลา น้ำตาล
ทะเลผัดฉ่า,อาหารไทย,เผ็ด เค็ม ,หอยแมลงภู่ กุ้ง พริกไทย ใบมะกรูด พริกเหลือง น้ำมันหอย น้ำตาล ใบโหระพา กระเทียม
หมูกรอบผัดไข่,อาหารไทย,หวาน มัน เค็ม, ไข่ เกลือ หมูกรอบ
ผักบุ้งหมูกรอบ,อาหารไทย,หวาน มัน เค็ม,หมูกรอบ ผักบุ้ง น้ำมันหอย น้ำตาล กระเทียม พริก น้ำมัน
ผัดคะน้าหมูกรอบ,อาหารไทย,หวาน มัน เค็ม,หมูกรอบ น้ำมันถั่วเหลือง กระเทียม คะน้า น้ำตาล
กะหล่ำปลีผัดกุ้ง,อาหารไทย,หวาน เค็ม,กะหล่ำปลี น้ำปลา ผงปรุงรส กระเทียม กุ้ง น้ำมัน
หมูผัดแกงเขียวหวาน,อาหารไทย,หวาน เผ็ด มัน,หมู มะเขือ โหระพา พริกแกงเขียวหวาน กะทิ น้ำตาล น้ำปลา
ไข่เจียวหมู,อาหารไทย,หวาน มัน, ไข่ หมู ต้นหอม กระเทียม เกลือ น้ำปลา
ไข่เจียวปลากระป๋อง,อาหารไทย,หวาน เค็ม มัน, ไข่ ปลากระป๋อง ต้มหอมปั่น ผักชี พริกไทย 
ผัดเปรี้ยวหวานหมู,อาหารไทย,หวาน เปรี้ยว ,หมู หอมหัวใหญ่ มะเขือเทศ กระเทียม ต้มหอม น้ำตาล มะเขือเทศ 
ผัดผักรวมหมู,อาหารไทย,หวาน มัน ,หมู บร็อคโคลี่ ข้าวโพด เห็ดออรินจิ แครอท พริก ซอสหอย ซีอิ๊ว น้ำตาล แป้งข้าวโพด กระเทียม
ต้มยำรวมมิตร,อาหารไทย,เผ็ด เปรี้ยว หวาน มัน,ไก่ กุ้ง ปลาหมึก เห็ดฟาง หอม ข่า ตะไคร้ ใบมะกรูด น้ำปลา น้ำมะนาว นมข้นจืด น้ำพริกเผา
มาม่าผัด,อาหารไทย,หวาน เปรี้ยว เผ็ด,มาม่า ไข่ กะหล่ำปลี น้ำตาล
สุกี้แห้งหมู,อาหารไทย,หวาน เผ็ด ,วุ้นเส้น น้ำมัน ผักกาด น้ำจิ้ม ไข่ ต้นหอม ขึ้นฉ่าย หมู
ข้าวต้มหมู,อาหารไทย,จืด ,ข้าว คนอร์ซุปก้อนหมู หมู น้ำปลา รากผักชี กระเทียม ต้นหอม พริกไทย
สปาเกตตี้ผัดขี้เมา,อาหารไทย,เผ็ด หวาน ,เส้นสปาเก็ตตี้ ปลาหมึก กุ้ง กระเทียม พริก ใบมะกรูด พริกไทย น้ำตาล กระชาย
ไข่เจียวปูม้า,อาหารไทย,หวาน มัน, ไข่ เนื้อปู น้ำมันหอย น้ำปลา ใบหอม ผักชี
ไก่ผัดขิง,อาหารไทย,หวาน เผ็ด,เนื้อไก่ เห็ดหูหนู เต้าเจี้ยว น้ำตาล ซอสถั่วเหลือง น้ำมันหอย พริกชี้ผ้า หอมหัวใหญ่
ปลากระพงทอดน้ำปลา,ปลา,เค็ม เผ็ด,ปลากะพง น้ำปลา พริกไทย น้ำตาล น้ำส้มสายชู น้ำมัน มะม่วงดิบ พริก ถั่ว
ซี่โครงหมูหวาน,อาหารไทย,หวาน เค็ม มัน,ซี่โครงหมู น้ำตาล น้ำปลา หอมใหญ่ 
ปลากระพงนึ่งมะนาว,ปลา,เปรี้ยว,ปลากะพง พริก กระเทียม ต้มหอม ซีอิ๊ว น้ำตาล เกลือ
ทอดมันกุ้ง ,อาหารไทย,เค็ม ,กุ้ง น้ำมัน รากผักชี พริกไทย กระเทียม มันหมู เกลือ น้ำตาล ไข่
ข้าวหมกไก่,ข้าวหน้าต่างๆ,หวาน มัน,ข้าว ไก่ เม็ดผักชี ลูกยี่หร่า อบเชย กานพลู พริก เกลือ ขมิ้น ผงกระหรี่ นม
ไข่เจียวทูน่า,อาหารไทย,หวาน เค็ม มัน, ไข่ เนื้อปลาทูน่า มันฝรั่ง แครอท หอมหัวใหญ่ เกลือ พริกไทย น้ำมัน
แกงส้มชะอมไข่ ,อาหารไทย,หวาน เปรี้ยว มัน, ไข่ กุ้ง ชะอมเด็ดยอด น้ำพริกแกงส้ม น้ำมะขาม น้ำตาล น้ำปลา น้ำมะนาว 
หอยนางรมชุบแป้งทอด,อาหารไทย,เค็ม มัน,หอยนางรม ไข่ เกล็ดขนมปัง แป้งทอด มะนาวฝาน มายองเนส น้ำมันทอด
ไข่ทรงเครื่อง,อาหารไทย,หวาน ,ไข่เป็ด ไข่ หมู กระเทียม ผักชี ต้นหอม น้ำตาล เกลือ พริกไทย น้ำมัน 
ขาหมูพะโล้,อาหารไทย,หวาน,ขาหมู รากผักชี ซอสถั่วเหลือง น้ำตาล เครื่องเทศพะโล้ กระเทียม ผักชี
ลาบเนื้อทอด,อาหารไทย,เผ็ด หวาน มัน,เนื้อวัว ผักชี ใบมะกรูด หอม ข้าว พริก น้ำปลา น้ำมะนาว ไข่ แป้งอเนกประสงค์
ต้มยำไก่บ้าน,อาหารไทย,เปรี้ยว หวาน เผ็ด,ไก่บ้าน น้ำพริกเผา น้ำปลา น้ำมะขาม น้ำมะนาว พริก ใบมะกรูด ข่า ตะไคร้ หอม
ไข่ตุ๋นนม,อาหารไทย,หวาน , ไข่ นม พริกไทย ซอสถั่วเหลือง แครอท เม็ดข้าวโพด บอตโตลี่ กุ้ง
ข้าวผัดหมู,ข้าวหน้าต่างๆ,หวาน เค็ม,ข้าว หมู ไข่ ซีอิ๊ว ต้นหอม หอมใหญ่ แครอท น้ำมัน แตงกวา
เสือร้องไห้,อาหารไทย,เค็ม เปรี้ยว เผ็ด หวาน,เนื้อวัว ซีอิ๊ว พริกไทย น้ำปลา น้ำมันหอย น้ำมะนาว หอม ผักชี ข้าว พริก
ซี่โครงหมูสามรส,อาหารไทย,หวาน,ซี่โครงหมู เกลือ พริกไทย แป้งสาลี กระเทียม น้ำประรด น้ำตาล น้ำส้มสายชู ผัก
ทอดมันปลากราย,ก๋วยเตี๋ยว,หวาน เผ็ด,เนื้อปลา ไข่ ถั่วฝักยาว ใบมะกรูด น้ำตาล เกลือ พริกแกง แตงกวา ถั่ว น้ำตาล น้ำส้มสายชู พริก ใบกะเพรา
ก๋วยจั๊บน้ำข้น,ก๋วยเตี๋ยว,หวาน,รากผักชี ซอสถั่วเหลือง ซีอิ๊วดำ น้ำตาล ผงพะโล้ กระเทียม พริกไทย ผักชี ไข่ หมูกรอบ ตับหมู ไส้หมู เส้นก๋วยจั๊บ กระดูกหมู
ยำไข่ดาว,อาหารไทย,เปรี้ยว หวาน , ไข่ พริก หอมหัวใหญ่ แครอท มะเชือเทศ ต้นหอม น้ำมะนาว น้ำตาล น้ำปลา 
ปลาดุกผัดพริก,ปลา,เผ็ด หวาน,ปลาดุก พริกแกง พริก ใบมะกรูด ใบโหระพา หัวกะทิ กระชาย น้ำตาล น้ำปลา
ยำมะม่วง,อาหารไทย,เปรี้ยว หวาน เผ็ด,มะม่วงดิบ กุ้ง พริก กะปิ น้ำมะนาว น้ำปลา น้ำตาล ผักชี หอม ถั่ว
แกงเลียงกุ้ง ,อาหารไทย,จืด ,กุ้ง ข้าวโพด บวบ เห็ดโคน เนื้อฝัดทอง ใบแมงลัก น้ำปลา พริกไทย หอม กะปิ กุ้ง
แกงเผ็ดเป็ดย่าง,อาหารไทย,เผ็ด หวาน มัน,เป็ดเชอรี่ รากผักชี น้ำมันหอย สัปปะรด ใบมะกรูด น้ำตาล น้ำกะทิ มะเขือเทศ เกลือ น้ำปลา พริกแกง ใบโหระพา
ปลานิลนึ่งเต้าซี่,อาหารไทย,หวาน มัน,ปลานิล เต้าซี่ เห็ดหอม ขิง น้ำมันหอย กระเทียม ซอสถั่วเหลือง น้ำตาล ต้นหอม พริก
แกงไตปลา,อาหารไทย,เผ็ด หวาน,ไตปลา กุ้ง ปลาดุกย่าง ถั่วฝักยาว หน่อไม้ ส้มแขก น้ำมะขาม ใบมะกรูด ฝักทอง พริก ขมิ้น กระเทียม หอม กะปิ เกลือ
ไก่ตุ๋นซอสขิง ,อาหารไทย,หวาน,ไก่ ขิง หัวครอท หอมหัวใหญ่ ต้นหอม พริก น้ำมันหอย ซอสถั่วเหลือง เหล้าจีน น้ำตาล
ปลาเปรี้ยวหวาน,อาหารไทย,หวาน เปรี้ยว ,เนื้อปลา แป้งข้าวโพด มะเขือเทศ พริก หอมหัวใหญ่ กระเทียม ต้นหอม แครอท น้ำตาล มะเขือเทศ ซอสพริก
ยำหมูกรอบ,อาหารไทย,เปรี้ยว หวาน เผ็ด,หมูกรอบ พริด น้ำตาล น้ำปลา น้ำมะนาว หอม ผักชี แตงกวา
ราดหน้าเย็นตาโฟ,อาหารไทย,เปรี้ยว หวาน เผ็ด,เส้นใหญ่ เนื้อปลาหมึก เนื้อกุ้ง ลูกชิ้นปลา พริก น้ำมัน เต้าหู้ยี้ ซอสพริก มะเขือเทศ น้ำกระเทียม ซีอิ๊ว น้ำตาล ผักคะน้า แป้งข้าวโพด
ผัดแขนงหมู,อาหารไทย,หวาน เผ็ด,หมู น้ำตาล ผักแขยง พริก น้ำซุปหมู น้ำมัน
ต้มยำขาหมู,อาหารไทย,เปรี้ยว หวาน เผ็ด,ขาหมู ตะไคร้ พริก เห็ดฟาง ใบมะกรูด ข่า น้ำมะขาม น้ำมะนาว ใบผักชี
มาซาล่า โดซะ,อาหารอินเดีย,หวาน ,ไก่ ไก่ น้ำมัน หอมหัวใหญ่ มะเขือเทศ มาซาล่า ผักชี ขมิ้น พริก อบเชย น้ำมะนาว พริกไทย
ข้าวผัดสเปนซีฟู้ด,อาหารสเปน,เปรี้ยว หวาน เผ็ด,ข้าว กุ้ง หอยแมลงภู่ มะเขือเทศ ถั่วลันเตา หัวหอม กระเทียม น้ำมัน พริก
ปูทีน,อาหารแคนาดา,หวาน มัน,มันฝรั่ง เมเปิลไซรัป ชีสมอซซาเรลลา น้ำเกรวี ผักชี น้ำมัน เบคอน หอมใหญ่
ทาโก้เนื้อ,อาหารแม็กซิกัน,หวาน,แป้งข้าวโพด เกลือ น้ำมัน เนื้อวัว กระเทียม หอมใหญ่ พริก ยี่่หร่า ลูกผักชี น้ำตาล 
เฟรนช์โทสต์,ของหวาน,หวาน,ไข่ นม เกลือ ขนมปัง เนย
ซูชิ,อาหารญี่ปุ่น,หวาน,ข้าวญี่ปุ่น สาหร่ายคอมบุ ปลา
ราเมงหมูมิโซะ,อาหารญี่ปุ่น,หวาน เค็ม,เส้นบะหมี่ญี่ปุ่น น้ำซุป กระเทียม น้ำมัน โชยุ น้ำตาล พริกไทย ขิง ต้นหอม ลูกชิ้นปลา สันคอหมูดำ 
เทมปุระ,อาหารญี่ปุ่น,เค็ม,แป้งสาลี เบกกิ้งโซดา เกลือ ไข่ กุ้ง 
ข้าวหน้าปลาไหล,อาหารญี่ปุ่น,หวาน,ข้าวญี่ปุ่น ต้นหอมญี่ปุ่น ปลาไหลย่าง ไข่ปลาแซลมอน ไข่ โชยุ สาเก น้ำตาล
ไก่ทอดคาราอาเกะ,อาหารญี่ปุ่น,หวาน,ไก่ แป้งสาลี ขิง กระเทียม เกลือ พริกไทย โชยุ สาเกญี่ปุ่น
ข้าวหน้าเนื้อ,อาหารญี่ปุ่น,หวาน,เนื้อใบพายสไลซ์ ข้าวญี่ปุ่น ไข่ หอมหัวใหญ่ ต้นหอมญี่ปุ่น ต้นหอม สาเก โชยุ น้ำตาล พริกไทย
ข้าวแกงกะหรี่,อาหารญี่ปุ่น,หวาน ,แครอท มันฝรั่ง หอมหัวใหญ่ กระเทียม หมูสันคอเต๋า ก้อนเครื่องแกงกะหรี่ น้ำ
โอโคโนมิยากิ,อาหารญี่ปุ่น,หวาน เค็ม,หมู กะหล่ำ ไข่ แป้งสาลี มันฝรั่ง ซุปดาชิ น้ำมัน น้ำ
ทาโกะยากิ,อาหารญี่ปุ่น,หวาน,แป้งทาโกะยากิ ไข่ กะหล่ำปลี ต้นหอม ขิงดอง ปลาหมึก
ยากิโซบะ,อาหารญี่ปุ่น,หวาน เค็ม,เส้นยากิโซบะ ซอสเทอริยากิ กระเทียม หมู กะหล่ำปลี แครอต ต้นหอม พริกไทย
ทงคัตสึ,อาหารญี่ปุ่น,เค็ม,หมู ไข่ แป้งสาลี เกล็ดขนมปัง เกลือ พริกไทย กะหล่ำปลีหัวแหลม ซอสทงคัตสึ
โคร็อกเกะ,อาหารญี่ปุ่น,เค็ม,มันฝรั่ง น้ำมัน เนื้อสัตว์ หัวหอม พริก เกลือ ซอสถั่วเหลือง สาเก น้ำตาล แป้ง ไข่
 เกี๊ยวซ่า,อาหารญี่ปุ่น,เค็ม,หมู กะหล่ำปลี กระเทียม ต้นหอม แป้งข้าวโพด พริกไทย เกลือไทย น้ำตาล ผงปรุงรสหมู น้ำมันงา เหล้าจีน แผ่นเกี๊ยวซ่า
บิบิมบับ,อาหารเกาหลี,เค็ม เผ็ด,ข้าว ไข่ เห็ดออรินจิ ผักโขม แครอท ซอสพริกโคชูจัง แครอท ถั่วงอก บวบหอม น้ำมันงา กระเทียม เกลือ
ต๊อกบกกี,อาหารเกาหลี,หวาน,แป้งต๊อกสำเร็จรูป ซอสโคชูจัง พริก น้ำตาล ซีอิ๊ว น้ำมันงา น้ำส้มสาย
ไก่ทอดเกาหลี,อาหารเกาหลี,หวาน เผ็ด มัน,ไก่ เกลือ พริกไทย ซอสโคชูจัง น้ำผึ้ง น้ำส้มสายชู มะเขือเทศ ต้นหอม น้ำมัน กระเทียมละเอียด
สปาเก็ตตี้กุ้ง,อาหารอิตาลี,หวาน,สปาเก็ตตี้ กุ้ง มะเขือเทศ หอมหัวใหญ่ ต้นหอม มะเขือเทศ ซอสเห็ดหอม น้ำตาล ซีอิ๊ว พริกไทย กระเทียม น้ำมัน
ผักโขมข้าวโอ๊ตอบชีส,อาหารอิตาลี,หวาน เค็ม,ผักโขมแช่แข็ง เนย หอมหัวใหญ่ วิปครีม นม ข้าวโอ๊ต น้ำ เกลือ พริกไทย มอสซาเรลล่าชีส 
ริซอตโต้หมึกดำ,อาหารอิตาลี,หวาน,หัวหอม น้ำมัน ข้าวเหนียว ไวน์ ซุปปลา ซอสหมึกดำ ใบพาสเล่ย์ เนย
ฮาวายเอียนพิซซ่า,อาหารอิตาลี,หวาน เปรี้ยว,แป้งพิซซ่า ปะรด พริก แฮมไก่ ชีส ซอสพาสต้า มะเขือเทศ ออริกาโน
ขนมปังหน้าไข่,อาหารอิตาลี,เค็ม,ไข่ ขนมปัง ใบโหระพา น้ำมัน เมล็ดสน พาร์เมซานชีส กระเทียม น้ำผึ้ง น้ำเลมอน พริกไทย เกลือ
ทูน่าบาร์เก็ต,อาหารฝรั่งเศส,หวาน เค็ม,ขนมปังบาร์เก็ต ผักกาดหอม แตงกวา มะเขือเทศ หอมใหญ่ แซนวิชสเปรด ทูน่า มายองเนส
อกเป็ดซอสส้ม,อาหารฝรั่งเศส,เปรี้ยว หวาน,เป็ด Montreal Steak Seasoning ใบโรสแมรี่ ส้ม โชยุ พริกไทย
ชูเฟล่,อาหารฝรั่งเศส,หวาน,ไข่ เนย แป้งเค้ก นม น้ำตาล
เป็ดอบ,อาหารฝรั่งเศส,เค็ม,เป็ด เกลือ พริกไทย เม็ดลูกผักชี
ราตาตุย,อาหารฝรั่งเศส,หวาน เค็ม,พริก ซูกินีกลางเต๋า มะเขือเทศ หอมใหญ่ กระเทียม ใบไทม์ ใบกระวาน เนย
choux cream,ของหวาน,หวาน,ไข่ นม น้ำตาล แป้งข้าวโพด เนย เกลือ น้ำตาล
จับ แช,อาหารเกาหลี,หวาน,เนื้อวัว กระเทียม น้ำตาล งา น้ำมันงา ผักโขม หอมใหญ่ แครอท ไข่ วุ้นเส้นเกาหลี เห็ดชิทาเกะ
กุ้งดองซีอิ๊วเกาหลี,อาหารเกาหลี,หวาน เค็ม เปรี้ยว,กุ้ง เกลือ แป้งมัน โชยุ มิริน งา ขิง กระเทียม พริกเขียว ต้นหอม
OSSOBUCO,อาหารอิตาลี,หวาน เปรี้ยว,เนื้อวัว ขึ้นฉ่าย มะเขือเทศ แครอท หอมใหญ่ เนย ผักชี กระเทียม เกลือ พริกไทย ไวน์
กงฟีเป็ด,อาหารฝรั่งเศส,หวาน เค็ม,เป็ด เกลือ พริกไทย ไธม์ เบย์ลีฟ โรสแมรี่ กระเทียม
สตูว์เนื้อตุ๋นไวน์,อาหารฝรั่งเศส,หวาน เปรี้ยว เค็ม,เนื้อวัว หอมใหญ่ มะเขือเทศ มันฝรั่ง มะเขือเทศ แครอท กระเทียม ขึ้นฉ่าย ใบกระวาน น้ำสต๊อกเนื้อ ไวน์ เกลือ
เสี่ยวหลงเปา,อาหารจีน,หวาน,หมู ขิง น้ำตาล ซีอิ๊ว พริกไทย ใบผักกาด ต้นหอม แป้งข้าวโพด
กระเพาะปลาน้ำ,อาหารไทย,หวาน เค็ม,กระเพาะปลา ไก่ ซุปไก่ น้ำ เห็ดหอม พริกไทย น้ำมันหอย รากผักชี น้ำตาล ซีอิ๊ว ไข่ น้ำส้มสายชู
อารีปา,อาหารโคลอมเบีย,เค็ม,แป้งข้าวโพด เกลือ น้ำมัน น้ำ
ซุปบีทรูท,อาหารรัสเซีย,หวาน เค็ม,บีทรูท หอมใหญ่ กะเทียม กะหล่ำปลี มันฝรั่ง แครอท เนย โยเกิร์ต น้ำมัน เกลือ 
ข้าวคลุกหมึกดำ,อาหารโครเอเชีย,หวาน เค็ม,ข้าวริซอตโต้ ดีปลาหมึก พาเมซานชีส ปลาหมึก เลมอน ผิวเลม่อน ไชเท้าญี่ปุ่น ครีมนม เนย น้ำมัน โรสแมรี่ กะเทียม ไวน์
ปาเอญ่า,อาหารสเปน,เปรี้ยว หวาน,น้ำมัน กระเทียม หอมใหญ่ ผงปาปริก้า มะเขือเทศ หญ้าฝรั่น เกลือ ถั่ว พริก ข้าวริซอตโต พาร์สเลย์
เฝอ,อาหารเวียดนาม,หวาน เค็ม,น้ำ กระดูกวัว เนื้อน่อง หอม หอมหัวใหญ่ ขิง น้ำปลา เกลือ น้ำตาล โป๊ยกั๊ก อบเชย ลูกกระวานดำ ผักชี ต้นหอม
ไก่กังเปา,อาหารจีน,หวาน เผ็ด,ไก่ โชยุ แป้งข้าวโพด เหล้าจีน พริกไทย จิ๊กโฉ่ว น้ำตาล น้ำมันงา ถั่ว กระเทียม ขิง น้ำมัน พริก ซเลอรี ต้นหอม
เรนดัง,อาหารอินโดนีเซีย,เค็ม เปรี้ยว,เนื้อ กระเทียม หอม ขิง ข่า ตะไคร้ ใบมะกรูด กะทิ ผงเม็ดผักชี ผงลูกจันทร์ ผงอบเชย ใบกระวาน โป๊ยกั๊ก 
อโดโบ้,อาหารฟิลิปปินส์,หวาน,ไก่ น้ำ ใบกระวาน กระเทียม หอมหัวใหญ่ พริกไทย ซีอิ้ว น้ำส้มสายชู น้ำตาล
จาจังมยอน,อาหารเกาหลี,หวาน เปรี้ยว เค็ม,เส้นบะหมี่ หมู มันฝรั่ง เห็ดฟาง แตงกวา ผักกะหล่ำ ซอสหมัก มิริน เกลือ พริกไทย กะเทียม น้ำตาล
บุลโกกิ,อาหารเกาหลี,หวาน,เนื้อสันแหลม สาลี่หิมะเต๋า กระเทียม ต้นหอม หอมหัวใหญ่ งา น้ำตาล พริกไทย ซอสถั่วเหลือง น้ำมันงา น้ำมัน
บูเดจิเก,อาหารเกาหลี,เปรี้ยว หวาน,สแปม หมู ไส้กรอก เต้าหู้ ถั่ว บะหมี่เกาหลี ชีส ต้นหอมญี่ปุ่น หอมหัวใหญ่ กิมจิ เห็ดเข็มทอง 
 พีบิมบับ,อาหารเกาหลี,เปรี้ยว หวาน,โคชูจัง หมู ข้าวญี่ปุ่น ไข่ กิมจิ ผักโขม เห็ดหอม เห็ดเข็มทอง ถั่วงอก แตงกวา น้ำตาล น้ำส้มสายชู
กุ้งอบวุ้นเส้น,อาหารไทย,หวาน เผ็ด,กุ้ง หมู วุ้นเส้น ต้นหอม ขึ้นช่าย ขิงแก่ กระเทียม รากผักชี ชวงเจีย พริกไทย ซีอิ้วดำ เหล้าจีน
หลนปู,อาหารไทย,หวาน เค็ม เผ็ด,ปูเค็ม หมู น้ำตาล พริก พริกชี้ฟ้า ตะไคร้ กะทิ น้ำมะขาม หอม ใบมะกรูด
หมูโสร่ง,อาหารไทย,หวาน เค็ม มัน,หมู ไข่ น้ำปลา รากผักชี กระเทียม พริกไทย เส้นหมี่ซั่ว น้ำมัน
ไข่ลูกเขย,อาหารไทย,หวาน,ไข่เป็ด เกลือ หอม พริก น้ำตาล น้ำปลา น้ำมะขาม น้ำ ใบผักชี
แกงเทโพ,อาหารไทย,หวาน เผ็ด,ผักบุ้งไทย หมู พริกชี้ฟ้า ใบมะกรูด ลูกมะกรูด พริกแกง หัวกะทิ หางกะทิ น้ำ น้ำปลา น้ำตาล น้ำมะขาม
